,label,text,sentiment,confidence
699533,2,"went to F.A.M.E. specifically for this place and wasn't disappointed at all. only let down was that they only had vanilla filling. was advised that they usually have two flavors of fillings depending on how busy they get per day. they have vanilla,  green tea, hazelnut,  chocolate, and strawberry. I wouldn't mind giving green tea and hazelnut a go but not this time. I got the eclaire (chocolate dipped original) a coco and a cookie with vanilla filling. Lets start with the cookie. It  had bits of cookie all over the pastry and the cookie bit tasted good. it wasn't filled all the way and had almost 50% air inside the puff pastry and was a little let down. I read sok reviews that said it was filled with alot of filling so I was expecting the same. With that said all of the three cream puffs I got was filled the same and to me was not filled enough. the vanilla cream had a very light taste but it had a good consistency and good texture. the puff itself was made well and held the filling as it should. we then had the eclaire. it was go was go the chocolate added what seemed as a missing flavor if it had any and was a nice semisweet and not so much sugar it hurts your teeth chocolate. Then the coco puff. it was a coco puff with vanilla filling and I am glad I saved that one for last as it was the best one. the coco puff had great chcocolate flag and with the vanilla filling was a good combo. The workers were nice and greeted us and was very easy to talk to. Overall it is an ok cream puff, if I am in the area I would stop in to see if they have anymore flavors for the day besides vanilla but I dont think I'll be making a special trip just for these anything soon, unless they bring the sweet potatoes one here then ill be back lol!",1.0,0.991672694683075
670301,1,"This review is for the restaurant. \nMy husband and I came here for our 5 year anniversary dinner tonight. I did my research and thought this would be a good place to go. The food was wonderful. We had, for starters, the seared duck foie gras (half order), tuna tartare (half order), and Maine lobster salad. For our entrees we had the braised wagyu and cod brandade. Both were very tasty. For my dessert I had the mix Candy Bar w/ caramel ice cream. \nMy gripes with this restaurant was that we were seated on a round table between two square tables. It was awkwardly situated and did not make for a very comfortable meal. At least we were seated by a window with a pretty nice view. My next gripe is with the waiter (big Caucasian blond guy) who talked and laughed with the tables next to us and made no effort with the two of us. I wonder if it's because we didn't order a bottle of wine. I forgot my Zantac, so I didn't think drinking wine would be wise. My husband ordered a mojito and he totally forgot about it prompting us to have to remind him and when he wanted a second drink, we had to ask the busboy (sorry, I don't know what to call him). By the way, the busboy and the buslady were nice and friendly. My husband wanted to give the waiter a bad tip, but I convinced him against it because I wanted the other helpful staff to get what they deserved. We tipped the usual 18% even though the waiter clearly didn't deserve it. With the foie gras and wagyu we weren't sure what we were supposed to eat it with. A good waiter would have made suggestions for sides to improve the enjoyment of our meal. \nSo the verdict: The food was great, but the experience was lacking considering the amount of money we spent, $200+.\nI've been to many amazing restaurants, including French Laundry, Jar, Lucques, Osteria Mozza, etc... This was by far the worst experience I've ever had at a fine dining establishment.",0.0,0.996911883354187
19475,0,"This place is misleading.  Wineburger is a great concept and name, but the place is nothing more than a strip mall burger joint.  Like other reviews, it's 95% bar, 5% restaurant with a cheers type atmosphere. \nWent on a Wednesday night and all the TVs were on a infomercial channel.  When I asked if they could put something else on, the middle aged Persian bartender told me that the cable was out and somehow we were stuck with a P90x drone .  Another flaw, the ventilation is so poor that you smell like you actually  fried the burgers on your stovetop. \nMany better places in Phoenix",0.0,0.9997379183769226
598048,1,"I work downtown, and as a result I'm always happy when new restaurants open. I was excited to try Il Pizzaiolo, which brings a classy storefront to Market Square.  Maybe this is the burgher in me talking, but it always seems like the people dining there look like they walked right off the set of Entourage. I'm intimidated by glamour! \n\nI prefer to sit outside on their sidewalk patio, as the dining room can get very noisy. Service is variable.  The hostesses always seem stressed and while I don't mind waiting, our times have always been at least 15 minutes over the estimate.  \n\nI've seen a few reviews turn sour regarding the outdoor seating and where diners are permitted to eat/wait.  This is actually not their fault.  Police have been cracking down on panhandlers and crime in the area.  Consequently, one MUST sit in the dining area for the corresponding restaurant. \n\nNow onto the food.  \n\nThe wine list is extensive but only includes Italian selections.  Most of the servers are knowledgeable and can recommend pairings. \n\nThe appetizers are decent but are not worth the ~$10-$15 cost.  \n\nI've sampled both the pastas and the pizzas.  The pastas are underwhelming in terms of originality, taste, and size. Entrees come with bread and oil for dipping, but the bread is too salty for my enjoyment.  I will never understand why carb-loaded restaurants serve bread with their offerings.  It seems redundant. \n\nPizzas are the restaurant's specialty (at a place called Il Pizzaiolo? No way!).  The wood-fired pies are good, and vary from the standard Margherita  to the more loaded Santa Lucia.  But to be honest, all of these pizzas lack imagination. I understand that Pizzaiolo is going for more \""classic\"" recipes but for the prices why not throw in some innovation?",0.0,0.9948393702507019
32152,4,"I saw all the mixed reviews...  I had a very different experience than some I guess because the Pizza  we got was full of premium ingredients and one of the best I have ever tasted, including my own pizza.  We all agreed on that, so...",1.0,0.9991505146026611
144887,1,"I used to frequent this place all the time, it was a favorite for my wife and I. Sadly Dave and Jolene sold the place about a year ago and it was not the same upon our return a while back.\nThe first let down was the entire place had been somewhat remodeled. Granted it was always clean before, but it had a certain old school  dive type charm  to it. The mess of pictures and memorabilia all over the walls, etc. It wasn't classy but it was perfect in its own way. However the new owners painted it a bright white and the usual dim lighting which complimented the place was changed to bright lights. \n\nIt took forever to get anyone to help us, at least 15 minutes, then longer than forever to get our food. We waited at least 25 minutes where as Dave used to have your sandwich in front of you in 5. The sandwich had hardly any meat on it and it as well as the French fries were doused in salt. We asked for extra cheese however couldn't even spot minimal cheese on there.\nThe cooks were three kids around 18. Not sure how you can sell an \""authentic Philly steak\"" when it is made by a kid fresh out of high school. I used to have a friend who spent the better part of his life in Philly and told me more about cheesesteaks then I could ever imagine.\n\nThe guy who claimed he was the owner tried to make it right by not charging us but still nothing was the same. I wish the best to the new owners but it is no longer what I am looking for. Change is not always a good thing.",0.0,0.997431218624115
546579,3,Food freshness is great!  Staff is ok....  \n\nI wish they were a little more explanatory with what does and does not come one the sandwich.  I know it has a menu board; however; somethings need to be explained.  \n\nIf I want mustard instead of mayo on a sandwich I do not want yellow mustard packets.  If my sandwich is already wrapped you have permission to unwrap and add mustard for me.,1.0,0.9926242232322693
225099,0,Extremely dissatisfied.\n\nWe ordered 5 different sandwiches and only enjoyed 1. \n\nTomato soup was the most disgusting soup I've ever had. It tasted and smelled like vomit. We literally had to pour it down the toilet because it was so horrible.,0.0,0.9995740056037903
225958,3,"Love it.  Food is pretty much the same as their location on Eastern (quality).  Eastern, in my opinion, has a nicer atmosphere... but this location is closer to my house so it's our go to Thai spot.  Service is always super friendly too (never a bad experience - so far.)\n\nMy favs include:\n\n* Pad Thai - Not too saucy, not too dry.  Perfectly cooked noodles all the time and great flavor!\n* Spicy Eggplant - Best I ever had!\n* Chicken Yellow Curry - I love Thai yellow curry.  I've tried it everywhere and Pin Kaow's is definitely at the top of my list.  They don't mess around with random veggies like carrots and onions.  Its just chicken, potatoes, and curry.  And its AWESOME.  Good consistency and flavor.  In fact, I like to take home the left over sauce to put over rice.  Then I just eat it like that!  Sauce and rice.  Lol!\n* Mint Chicken - I think this is what they call Pad Ka Pow here.  It's the ground meat with basil flavor.  Pretty good!\n* Pad see ewe - Always good.  I like it with beef or chicken.\n\nBe aware that their \""medium\"" can still be a little spicy for some (IMO)!  If you're sensitive, ask for mild (which still has a slight kick to it as well!)  Their portions aren't huge either (quality over quantity), so if you're with a large group, we tend to double up on the dishes that everyone likes.  \n\nPin Kaow is def my favorite Thai joint in Vegas.  Try it out!",1.0,0.9995505213737488
426896,4,"I love this place!!  As other reviewers have pointed out, the salsa bar is insane.  Do yourself a favor and sample each variety.  They're not labeled to indicate how spicy they are, so be forewarned.  The cochinita, gaucho, dogfish, and shrimp tacos are my favorite.",1.0,0.9995924830436707
463332,0,"Pro's: unique, good tasting food\n\nCONS:\n1) pompous, poor service\n2) very expensive\n3) incredibly small portions\n\nI had to go to Wendy's afterwards because I was still hungry, and after spending $80. The waiters didn't know the menu.\n\nMaybe Come here if you have a corporate expense account",0.0,0.9904302954673767
541802,3,"My girlfriends and I decided to check this place out around 7pm on a Saturday night, thinking that we won't need reservations cause its new. Haha, well I recommend making reservations, we were quoted an hour wait but were offered to check out their lounge that is first come first serve. We went for the lounge option and happened to luck out finding three, out of the ten, stools at the bar available. The restaurant is extremely loud and the lounge area is no different. The decor is trendy and contemporary with greys and whites. The lounge area offers one small flat screen that had ESPN playing, but this is not the place to watch sports.\n\nThe two bartenders on were very friendly and greeted us right away and we given a drink and food menu. Let me say that I wanted to try every item on the food menu as all the options sounded delicious. The drink menu, well for advertising as a wine bar, their by-the-glass wine selection is pathetic, but their 2 ounce flight menu had hope. I opted for a drink off their cocktail menu titled Cider Bellini and it was a delicious treat that reminded me of Fall due to the cinnamon and apple cider. The bartenders use fresh fruit to make all the drinks which is greatly appreciated.\n\nWe split two appetizers, the Warm Brie and the Crab Cake 3 Ways. Both were super tasty and gone within three minutes of being set down in front of us (psh, don't judge).\nThe brie had a black pepper almond crust and was accompanied by a fig and pear compote and those two salty/sweet ingredients combine to form an amazing party in your mouth. The three crab cakes were super small, But each had a different flavor: Traditional, Corn wrapped Red Pepper Aioli, and a Sothwestern hush puppy-esque fritter. The Maryland Traditonal crab cake was the favorite among us three ladies.\n\nWe will definitely be back to try more specialty cocktails and sample more of their delicious food!!",1.0,0.9849827885627747
354355,2,"The pie maker wins some cool points for the fact that it's built over the Edinburgh Dungeons! \n\nOtherwise, the pie I had there was quite mediocre and I feel I need to have venture back there and give them another chance. For one, their menu is so impressive, it wouldn't be fair to judge based on just one experience. Aside from pies, they also serve a variety of smoothies, baguettes and hot subs which look really appetising! \n\nThe counter initially is quite reminiscent of another favourite of mine, Greggs. However, it's obvious they've got a little sumn sumn going on in the back as well, to be able to provide all they serve on the menu! Super cheap, and a nice place to just grab a bite on the run.",1.0,0.9744119048118591
89053,0,"This place is awful.\n\nThe price goes on the high side, and you can get much better deals online or in other stores.\n\nThe category classification is a mess. There is no directory of whole place, given this is a huge store. And you can't find what you want unless you happen to bump into it.\n\nThe customer service totally sucks. When I returned a jigsaw, she couldn't understand what sawdust is and kept saying that during cutting every product would have that. The thing is, when I opened the box and took out the pieces, the sawdust just messed my desk. And she was not happy that I opened the item. C'mon, how can I know I don't like it before I open the box? Finally the refund was processed, and she didn't say thank you, even not looking at me! I felt so offended and decided to NEVER EVER come back to this store or shopping online anymore!! \n\nThe name of the rude staff is Katy, in case you bump into her.",0.0,0.9997537732124329
213792,3,"Really good, cost effective specials and the steak was amazing",1.0,0.9998657703399658
299372,4,"My recent visit to Fridays was great! I ordered a 22 oz. glass of Bud Light and my boyfriend ordered a bottle of Land Shark. Both of which were only $3.00 thanks to the happy hour special. They have great prices on alcohol and appetizers during happy hour (which just so happens to be all day everyday). I ordered the Gourmet 5 Mac & Cheese, it was delicious! The boyfriend ordered the Jack Daniels burger and his was just as good. We had an amazing server named Margarita who was fast, very attentive, and provided awesome customer service. After both of our entrees and 4 beers, our total came to $25 and some change. I like that. The only thing I didnt like, is they didnt cater to the current promotion of all sandwiches and salads are $5 due to the fact that they are in a casino.",1.0,0.9982590079307556
581842,2,"Decent and reasonable family style restaurant.  Lunch fare offered subs, sandwiches, burgers, and entree's, along with a special lunch menu that for $5.95 comes with french fries and coffee or tea.  Good selection of food, cheap prices, and fair service.  Nothing fancy, but it's not presented that way either.  I had the freedom sub, which was turkey, bacon, and roast beef with french fries.  Free refills on soda too - actually have run into two places recently that don't, so I figured I'd mention it.",0.0,0.9035963416099548
156747,3,Second time I've been to this place. Me and a friend met up here this time after a long day and it was totally worth it! Had to wait for about 15 mins on a Tuesday night but we didn't mind too much. Beer selection was awesome and the food was great as always. The artichoke dip is phenomenal omg! Mmmhmm. Love it. My friend had the killer and the honey chipotle wings but didn't like the honey chipotle that much! Will definitely be back every soon,1.0,0.9997337460517883
534706,1,Hibachi is not as good as other places but their sushi tastes alright.\nService was good though. I would go to Toyama or Yoshi's as they are just few miles away.,1.0,0.9949710369110107
651191,4,"Hands down BEST pinatas I've found in the valley. \n\nA few years ago my favorite pinata store went out of business and I haven't been able to find a replacement up until recently. I throw lots of parties and love having a pinata for any occasion. When I'm looking for a pinata I usually visit multiple stores looking for something specific. What I find is the same old thing and more often than not- covered in dust. \n\nWhen I first walked into Pico Rico I was so please with the selection. Every row I went down I saw something new. There were plenty of varieties so even if it's not for a kids birthday party you'll find something great. Whenever I go back they always have new pinatas I hadn't seen before and something special for whatever holiday is near. The Christmas pinata I bought there was beautiful and unique, I got compliments on it. Their pinatas are very well made. I stuff them with at least 15 lbs. of goodies and they always hold up. On cheaper pinatas the wire will come out when there's too much weight inside. \n\nOther than pinatas they also have a huge selection of Mexican candy, some decorations and balloons. The staff is friendly and helpful. Even though this store is bright fuchsia it's still hard to miss so keep your eyes peeled when driving by.",1.0,0.9988588094711304
254796,1,"Customer service is everything to me. Yes, they do have a lot of stuff and sometimes they have GREAT deals. Their customer service is a hit or miss. I'm gonna avoid coming here now. I ordered shoes with them paid for it and the items were sent back because I didn't pick it up in 10 days... Was NEVER aware of that and the lady was like, \""Oh, you dont want your stuff\"" I didn't appreciate that comment. If that was the case, I wouldn't be here. I have also paid for it. SMH.",0.0,0.9941457509994507
74744,1,"OK. so.  When we first moved here..... We had a bunch of friends visit and come stay at our brand new house back in 2008?  I don't remember... a while back.  But this joint was still fairly new.  We came here on the way to the airport to drop off our weekend guests at the McCarran for a quick bite to eat.  \n\n[Keep in mind that this is during the summertime]\n\nSo we go in.. and there are flies.  FLIES.  all over the place.  I'm weirded out and the employees are acting like nothings wrong.  I'm not sure what to do at this point and I've suddenly lost my appetite.  So I approach the counter and I ask... what's going on?  And the young man at the counter was at a loss and kinda giving me the \""get out of here\"" look.  So, I made a judgement call and decided that we needed to get out of there.  \n\nI'm not talking about 1 or 2 flies that the auto door can bring in.  It was like walking through a wall. \n\nO_O  \n\n\nNext.... I should say that I have been back.  BUT. . .  years later and not after I put in a call to let the proper people know that there was a HUGE problem.\n\n... it's not always the cleanest either. \n\nI haven't encountered that problem since.... but, still not the first one I'd go to though it IS RIGHT there.",0.0,0.9988415837287903
46672,4,"I HATE and I do mean HATE going to the dentist. However Dr. Dachs and his team always makes my visit a pleasant one. I always see Dr. Chris who I swear is not old enough to be a dentist, but he does an excellent job. The entire staff from the receptionist to the hygienist, to the Dr's. have all been very wonderful and patient with a wimp like me. They are always honest and upfront about every procedure that I have had or may need which hasn't been much (thank goodness). So if you are looking for a great dentist office, go and check out them out. You will be pleasantly surprised!",1.0,0.9997226595878601
445658,2,"I used to shop @ the Whole Foods in West Hollywood, Ca. and I have not been to a WF since I moved to Las Vegas. I had high hopes for this location.\nSome of the isles seemed so cramped, it was hard to get my cart by the other patrons. Plus the frozen section was unapproachable because it was being stocked by several employees in the middle of the day on a Saturday....\nThe deli was full of many meat, vegetarian, and vegan items. \nI was disappointed that the flower section was only a few tulips/daffodils. \nI will return for the wide selection of vegan/ vegetarian items, but I will be prepared for the large crowds of people--- maybe a basket, not a cart.",0.0,0.9984683394432068
232960,4,"I am from Boston and there are a lot of good sushi in Boston and NYC ( I also visit often), but this place is absolutely a must-go place for sushi. For the price, it is cheap but at the same time very fresh fish. Ramen are not below average and their katsu curry is absolutely the best I've had so far. I missed its food sooo much (especially the katsu curry) when I was back in Boston. Service is always welcoming and nice (very very polite). As can be seen this is a family run restaurant and there is only one waitress. I personally work part time as japanese food waitress back in Boston and I totally understand how service just simply can not be met when there are over 6-7 tables to be served at the same time (they are often full-house with one waitress). They totally deserve a good tip (or at least a average 15%-20% tips) even though you may not be fully served or at all.",1.0,0.9954774975776672
500987,4,"I was looking to get my windows tinted and came across DC Auto on Yelp .After seeing their awesome ratings I decided to stop in one day to ask about the different films they offer. I was shown their Heatwall which demonstrates the different films they offer and allows you to feel how much heat comes through each kind of film. I made an appointment for a couple days later. \n\nWhen I came in for my appointment, they confirmed what kind of film I wanted and escorted me to their waiting area. I was so impressed with how nice it was. They have a fridge with sodas and waters, coffee, and snacks. There is magazines and a flat screen TV. They also offer Wifi and have a conference center. I was quoted 3 hours for my car but they had it done in 2. \n\nWhen my car was finished, David showed me my vehicle and it looked amazing. He went over their no fault warranty with me. I told him that I found them on Yelp and he made sure that I received the 10% Yelp discount. \n\nDon't waste your time with Groupon offers for other places to get mediocre service and tint. This place offers excellent customer service, a nice waiting area with amenities while you wait for your vehicle, and a product they take pride in and that you'll be completely satisfied with. \n\nThank you DC Auto for the fantastic service. I will be sure to bring my next car here and refer everyone I know here.",1.0,0.9987218976020813
232934,1,They always have the best sushi n price in town. BUT they have the worst customer service ever. Waited for 20+ mins to get our order and refill. Added 18%tips for a party of 2 while THEY DO NOT DESERVE IT. Very disappointed...,0.0,0.9996839761734009
509755,2,"I was in here last night for a wine and canvas event. It was my first time in this tavern and it was mostly an enjoyable experience. The bartender was fabulously friendly. The service was prompt and his good mood was contagious. I asked if there were any drink specials and was pleased to find out that it was happy hour until 7 and everything was half price. Cool. Pint of New Castle, $2. Stella, $2 etc. Not bad, and they had about 12 beers on tap. On that alone I could give this place 4 stars but alas it was not to be. \n\nThis place was SMOKY. Hated it. It was around 6pm, pretty busy and from what I could see, not ALL but MOST of the patrons were smoking. As soon as I got my draft and paid my tab I booked it to the room off the bar where my event was being held. The door to the bar was closed and this area was completely smoke free which I was thrilled about. I'll be happy when Nevada jumps on the clean-air bandwagon, but until then I'll be frequenting the smoke free establishments.",1.0,0.9966093301773071
398466,3,"I am what some may consider a fro-yo connoisseur. This is one of my new favorites. The toppings are pretty standard but they have tasty and unique flavors. New favorites are Nilla Wafer, Kona Coffee Blend, and Key Lime Bars. YUMMM! It's never too crowded and is always clean and toppings are always well stocked. Yogurtland is definitely worth a try the next time you're looking for a cool treat!",1.0,0.9997972846031189
237548,2,"Decent fresh food. Try's a bit too hard to be different causing some dishes to not be so great or something different than what they are claiming to be, but, overall good and I appreciate the effort to be fresh and healthy.",1.0,0.9997677206993103
479842,3,I am new to Pittsburgh and some suggested I stop by this restaurant. I had never been to Shadyside before (which is a cool place!) and from my first impression I liked it! It's a cool place with a young staff and great decor. They had multiple seating options (maybe because I was there on a slow night?) but we got a great seat by the window. \n\nI had a burger and a spiked shake - can it get any better than a shake and alcohol?! The burger was great - much more than I could eat in one sitting. The fries were tasty as well. \n\nMy waitress was kind and the host even chatted for a while about things to do in Pittsburgh. I'll def be back when I'm in the area again and would love to bring friends!,1.0,0.9991055130958557
450481,2,"I'd been eating here for over a year, but recently something has changed.  I still like it, but it isn't the meal that has drawn me to eat there as often as I had been before.",1.0,0.9876165986061096
108114,4,"This is a top notch establishment period. We just dropped in without reservations so we waited in the bar until a table was available and let me tell you the bartending staff is great and the drinks are what they should be. When we got our table Kara was our waitress and she is probably the best server I have ever had. She quickly assessed what our tastes were and recommended meals. I love blackened dishes but hate it when a place can't do it right so I was skeptical when she recommended the blackened ahi tuna. Kara stated with no delay that not only would I be happy with it but to \""just close the menu now, you won't be disappointed\"" !!! Boy was she right! I am a definite \""foodie\"" and I love to eat out and I can't remember when I last enjoyed a meal this much. My friend got the steak and lobster and had his tenderloin steak blackened and it too was to die for. I am telling you folks EAT HERE you will love it! Thanks Kara and thanks Salt Cellar.\n\nDave",1.0,0.9991795420646667
373786,3,"First of all, Remember people, in the title of the business name, it does state: school. Give the future professionals a chance and plus your paying a great price for the experience and services. If your coloring your hair, dont forget to bring pictures along, it really helps with what you would like as the result. Dont forget to recieve the Awapuhi Wild Ginger Treatment, your hair will love you for that!! Give it a shot, even just one time and you'll be surprised how in depth they go in your consultation. Recieving a consultaton is really important when you go and get your hair done, no matter where you go!!",1.0,0.9995799660682678
443232,2,"Pros:\n\nVery clean, nice staff (and pretty), the bathroom has a cool design, the few patrons that I talked to were friendly, the layout of the whole gym is pretty cool\n\n\n\nCons:\n\nThe leg area and leg equipment are lacking at the expense of rather useless upper body machines with too much redundancy (people mostly use the staples, those machines are always busy while alot of machines just collect dust). There is no place to deadlift. Only one squat rack and one power rack. This could be a big turn off for a lot of lifters. No pullover machine, I have never been to a gym that didn't have a pullover machine. I think if they replaced some rarely used equipment with more popular, and practical equipment and added a platform or two for deadlifting (or even just created an open space for it) this gym would be a more appealing. \n\n\nOverall, it was alright. I would choose to lose some of the flashiness and unpopular machines for a bigger emphasis on practical, popular equipment.",0.0,0.9555518627166748
305732,3,"I like it - a lot!!  But..... Short one star because you'd better plan on waiting (a long time) on the weekends - this place always has a line. That's usually a good sign and it is true here since the food is really tasty. However, the coffee quality suffered and the service was a bit spotty the last time we went. Back to the food - omelettes are tasty and french toast for kids is a hit. Love the character of the various types of staff here (tattoos, piercings, etc.) just means they're a good eclectic bunch - they're busting their tails in and out of the kitchen and they definitely work hard for their pay!!",1.0,0.9985144734382629
